Spearman_Cor,Pearson_Cor,RSD_PAPH,norm_diff_PA_PH_median,Label
0.892857143,0.999985248,0.409547505,0.948167574,0
0.714285714,0.59806628,0.269443254,0.754927642,0
0.892857143,0.94579342,0.365204067,1.093716622,0
0.964285714,0.978812361,0.617655641,2.352826598,0
0.928571429,0.882097736,0.347780946,0.995983386,0
1,0.968614453,0.220772506,0.59353494,0
0.928571429,0.938657294,0.149497266,0.333382432,0
0.5,0.564386697,0.447118981,1.627193822,0
1,0.998700169,0.011090292,0.033187383,1
1,0.997291869,0.021830112,0.05852892,1
1,0.996844479,0.018664507,0.061094466,1
1,0.99590415,0.021292733,0.057562367,1
0.857142857,0.934361717,0.278866537,0.784972872,0
0.75,0.7136457,0.395480072,1.199287418,0
0.964285714,0.928439746,0.033910221,0.102149036,1
0.75,0.810995701,0.041271508,0.113781723,1
1,0.998700639,0.032875807,0.101255464,1
1,0.998621335,0.029815497,0.086844962,1
1,0.99696879,0.018971241,0.054443731,1
1,0.998191842,0.050641738,0.150835314,1
1,0.997961083,0.016773939,0.055216976,1
0.964285714,0.999721009,0.021091755,0.047099379,1
1,0.998173319,0.026179526,0.073391839,1
1,0.999977876,0.021949039,0.069070628,1
0.857142857,0.981254195,0.143289292,0.429776803,1
0.821428571,0.963609494,0.370499604,0.937754637,0
0.857142857,0.920824453,0.094202166,0.260256724,1
0.785714286,0.712083085,0.0577333,0.147202876,1
0.857142857,0.985044194,0.048125104,0.138041643,1
0.964285714,0.973126073,0.048689283,0.128746578,1
0.928571429,0.956168831,0.310583515,0.860219036,0
1,0.999516128,0.197377293,0.495409619,1
0.964285714,0.99913504,0.266993445,0.682762256,0
0.75,0.99856553,0.60169608,2.155023122,0
1,0.997258423,0.022195111,0.0684312,1
1,0.998552612,0.053159792,0.134156534,1
0.928571429,0.981124254,0.335015289,0.847786256,0
0.964285714,0.92816591,0.387227101,1.277685299,0
1,0.998519385,0.697305551,0.91481359,0
0.964285714,0.981016884,0.029071997,0.091358118,1
1,0.997077628,0.018200415,0.050757787,1
1,0.999770006,0.019306527,0.048192881,1
0.964285714,0.993058115,0.022452366,0.067545627,1
1,0.999282758,0.014200952,0.038024303,1
0.964285714,0.95726246,0.064324634,0.183839863,1
1,0.984244849,0.074183382,0.2124012,1
0.928571429,0.937663362,0.054969711,0.153543655,1
0.964285714,0.993719024,0.038311606,0.11902649,1
0.928571429,0.997655687,0.026935658,0.083206935,1
1,0.9994263,0.01945369,0.057097045,1
0.964285714,0.981964101,0.210908827,0.646078339,0
1,0.994810131,0.191822174,0.584727782,0
0.964285714,0.997543521,0.028917214,0.088474621,1
1,0.997251585,0.043222699,0.112260486,1
0.964285714,0.983943382,0.024898141,0.064410442,1
1,0.992327491,0.032053346,0.09588945,1
1,0.942916701,0.249966918,0.822812598,0
0.964285714,0.999578854,0.227398438,0.594369306,0
0.357142857,0.561149747,0.388591874,1.184654178,0
0.892857143,0.922438304,0.367500642,1.184564063,0
0.75,0.524168121,0.220691307,0.728477839,0
0.714285714,0.810345488,0.460567197,1.380480911,0
1,0.999960479,0.023328187,0.062235493,1
1,0.999955351,0.017068643,0.051955588,1
0.964285714,0.964571528,0.147358341,0.400882048,0
0.857142857,0.981862888,0.256786786,0.738070357,0
0.428571429,0.578346295,0.305097949,0.736947761,0
0.535714286,0.806983697,0.269609619,0.833116613,0
1,0.999378758,0.030666359,0.086872041,1
1,0.9989338,0.020214946,0.060250201,1
0.464285714,0.869017802,0.05223864,0.160997051,1
0.75,0.816423086,0.263032114,0.769145911,0
0.964285714,0.996245425,0.373638543,1.173026189,0
0.928571429,0.981979499,0.522784231,1.004489822,0
1,0.99974906,0.010335521,0.027274505,1
1,0.998046359,0.019290615,0.061410115,1
0.892857143,0.83774885,0.053585267,0.160497141,1
0.714285714,0.806919845,0.40102589,1.107625762,0
1,0.997402226,0.020326683,0.050778,1
1,0.999816619,0.010305792,0.030580209,1
0.964285714,0.973985498,0.050588968,0.166290815,1
1,0.990924542,0.032273007,0.087223104,1
