Alignment ID,Average Rt(min),Average Mz,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14
103,11.746,609.48309,1047,272,2943,29,2529,270,2154,98,2252,104,197,2844,107,1009
104,13.551,610.43091,2108,1504,2001,847,1587,2503,2514,1808,5324,990,801,983,1012,1202
105,17.442,610.54163,7605,11599,7319,4136,4431,8721,5699,5716,3564,5066,7173,7185,5301,6057
106,3.918,611.3764,3510,154,5308,932,6822,1046,8324,5774,784,1422,550,4540,158,463
107,18.058,612.55664,56952,55436,37764,24102,20833,44144,31495,27984,16151,33543,32786,32055,35742,29771
108,18.042,617.5127,2405,1714,1017,764,892,1736,1390,1251,809,1521,1105,1218,1175,1161
109,18.484,620.59491,1188,1827,2695,1460,2456,2007,1661,2468,1786,1836,1233,1961,1882,2697
110,19.143,622.6131,6648,9226,9786,5137,9480,6839,7010,10848,8538,8498,3822,8107,10629,9030
111,21.397,628.60101,621,631,113,758,444,1332,661,676,1584,1175,1010,1168,1130,1576
112,19.026,630.61902,1079,1411,1673,1006,1344,1199,1044,1253,1159,1239,1072,1172,1323,1418
113,5.402,634.45197,23079,10976,19739,7748,21011,14513,449,20209,3514,17589,10049,14942,2645,26635
114,5.538,634.45239,23079,10976,19739,7748,21011,4835,29434,20209,3514,17589,10049,14942,2645,26635
115,19.442,634.65186,1111,1199,718,453,1254,1152,780,1054,914,796,640,569,1540,788
116,17.417,636.55603,11895,15389,9838,6563,6914,10721,7373,10442,8526,7828,8385,10687,5343,7221
117,19.631,638.64496,858,818,1090,760,747,748,1248,540,1045,1042,1045,923,1252,1485
118,5.406,639.40613,19231,9595,15277,7835,13421,12553,193,15808,3713,14841,9594,13060,2342,21322
119,5.597,639.40692,19231,1955,15277,7835,13421,3049,21696,4724,3713,14841,1959,13060,2342,8209
120,17.981,643.52808,2614,2012,1176,1134,808,1569,1410,1576,1733,1520,950,1525,941,1232
121,18.375,646.61096,1558,2550,3065,1863,2474,2586,1913,1591,1475,1903,1810,2608,1834,3287
122,9.539,650.43616,2133,2938,3042,2352,4254,2154,1094,1700,1266,2052,2362,2774,2560,3884
123,8.662,650.43646,0,1478,1844,1025,895,1365,64,1418,1648,1526,1468,1706,1568,1380
124,19.861,652.6582,2304,4369,3207,2340,5134,3571,3544,2195,3679,4611,2575,3257,4944,4502
125,6.554,653.42352,1658,180,2444,241,3026,458,4182,425,56,339,114,1511,617,662
126,15.944,656.52472,1631,2107,4180,673,3159,1932,9514,2827,4330,699,1094,2622,1791,1926
127,15.229,661.52783,1178,2359,4370,1548,1493,2877,2038,2058,2682,1874,3876,4592,4560,2760
128,20.491,662.58655,3964,2929,5154,1498,5834,5235,2564,5514,6399,3126,3562,5328,12597,2345
129,20.351,662.58722,3964,2929,5154,1498,5834,5235,2564,5514,6399,3126,3562,5328,12597,2345
130,19.187,662.64478,641,1171,1972,846,830,1282,886,1292,1363,2306,1384,1515,1402,2277
131,20.897,664.60217,86576,56307,59128,60979,116853,14338,72482,11402,116226,87488,91816,86028,123475,82833
132,20.731,664.60406,86576,56307,11250,60979,116853,80205,72482,78598,116226,87488,91816,86028,123475,82833
133,21.116,666.61804,256347,219339,198814,280482,126705,247102,277272,259678,344488,276071,270845,287382,269784,277400
134,21.277,666.61841,256347,77678,198814,280482,338923,247102,277272,92802,344488,276071,270845,287382,269784,277400
135,22.218,670.64862,15828,19743,19319,4081,18857,20586,21828,3419,16643,21246,1785,26609,18836,21586
136,22.039,670.65027,15828,19743,19319,18629,11191,20586,21828,15704,16643,21246,14015,26609,18836,21586
137,15.724,675.54401,41558,74562,102230,66808,55146,66739,72051,71142,87738,83941,95417,101213,111973,101376
138,21.118,678.61749,889,176,648,74,1316,190,654,136,1046,92,30,304,668,111
139,20.49,688.60138,35295,82374,20465,43151,110592,32395,192869,42170,95230,48898,34985,56469,71256,46436
140,20.676,688.60156,35295,82374,86814,6431,110592,3540,192869,42170,95230,5849,8701,56469,71256,46436
141,21.053,690.61603,96594,79065,125869,217915,311808,27124,116784,29866,215984,170537,212113,151094,125232,153262
142,17.038,700.52686,6373,4334,3376,2561,6312,3863,4074,4412,5527,5954,2490,2701,4718,3576
143,15.757,701.55878,86023,140938,157997,163598,147247,132687,113556,107235,106444,116069,127616,139785,122523,159959
144,20.719,702.61902,630,1152,1011,872,2094,431,2506,1019,938,396,483,835,584,575
145,17.142,703.57587,46374,21211,50497,39404,63101,20968,60767,16623,49163,37188,19231,49862,21758,27760
146,15.579,704.52313,1930,2262,4521,1890,1856,5028,5015,2435,2065,1862,8631,10558,13239,3308
147,17.994,708.64984,3417,3390,1795,1217,1057,2163,1214,2010,1601,1492,1838,1852,980,1012
148,20.794,714.61731,40551,103692,56971,99399,58609,10410,95274,7360,43375,58542,84868,64282,27093,68235
149,20.633,714.61896,40551,103692,11918,99399,58609,50423,95274,35640,43375,58542,84868,64282,27093,68235
150,15.749,723.54144,4744,4170,3988,7940,4882,5900,4094,3599,3617,6434,4638,6174,4169,6872
151,16.853,724.52631,12084,13392,12393,9841,29426,11915,10663,15375,18282,19765,12712,12514,13316,13678
152,16.695,729.59058,22506,26893,39442,36618,21930,26537,25804,21084,24399,27646,27755,29655,23196,36402
153,15.699,730.53668,21902,35938,49964,14518,28614,47031,23135,31075,42146,26364,66591,55761,58652,42369
154,16.413,732.55347,28006,34386,30620,23040,23542,44536,26499,33638,20450,21335,65986,63133,78009,36818
155,18.079,733.61554,9776,12108,12414,14047,8574,6849,11356,6433,10368,13309,14717,9479,8917,17086
156,17.891,733.61737,8086,12108,13791,14047,8574,9569,12475,7838,9514,13309,15049,10494,10194,17086
157,18.72,733.75403,967,1025,457,462,592,975,520,382,620,678,652,529,1033,652
158,20.723,734.68286,3005,2148,1821,2541,4330,2739,3004,3365,4210,4024,4065,3221,4282,3773
159,21.552,738.71185,5787,6438,2027,7068,2781,7051,6220,6368,8405,7278,8451,7960,6092,7280
160,21.739,738.71234,5787,6438,5218,7068,8424,2988,6220,2509,8405,3329,3783,7960,6092,2093
161,19.472,738.75262,567,2410,1222,1470,1069,1988,1132,2281,1498,2105,1428,1178,1376,2347
162,17.461,744.55219,8876,6776,11720,4756,3415,5492,9541,9590,6439,4724,7400,5243,9259,5245
163,18.184,745.62012,5098,9719,16477,8739,1127,7906,8037,7523,10773,10548,15933,12056,9884,12354
164,19.033,749.74664,2552,3883,3624,2402,3745,3605,2741,3644,2639,3026,2690,2994,2961,4576
165,15.992,756.55286,153973,52331,135740,129385,116955,154722,81742,138212,203232,101344,142274,113462,274020,109158
166,15.709,756.55542,32951,87514,58059,52522,59165,86453,34465,80774,52884,42267,124803,55376,73782,69510
167,16.536,758.93463,2483,3256,2750,3334,2406,3151,3107,3270,2370,2884,3744,2509,2899,2974
168,18.728,759.63586,48207,100052,114672,83116,78325,77787,88243,89278,99986,77298,102722,92735,92163,98060
169,17.242,768.5531,6327,4052,8028,2911,3428,2739,2988,2807,4599,4354,7809,3312,3374,5666
170,16.994,772.58374,31465,50922,81233,50853,32200,68882,55763,59129,62176,54831,47155,40717,64616,56927
171,19.259,773.65015,15996,19927,45722,13091,20923,17803,30535,23816,36580,28001,25437,35986,28026,24308
172,17.822,786.59857,262394,145434,318162,143185,343111,150980,295876,193803,261344,198828,110803,219165,194882,156808
173,18.746,786.65497,40870,61702,85919,61347,72039,62244,63998,57206,56611,52159,54925,72273,59186,61001
174,20.125,792.70721,16233,8551,56910,18565,4713,22727,29864,11352,5304,15898,15367,67944,60559,12418
175,19.047,798.67944,3629,3610,2797,2873,1953,3452,3364,2821,3358,3634,3488,3219,3839,2927
176,17.963,800.61462,6112,10407,12153,8038,6861,12055,11871,13427,9360,8624,8285,8928,10955,9141
177,18.622,810.67944,8620,10931,8407,18096,6207,10491,10044,7750,7871,8287,9360,10234,8890,9272
178,15.41,863.56329,3105,2641,2505,1902,2438,2802,2652,2746,2313,2099,2521,1865,2352,2225
179,20.93,874.73163,3514,2680,3330,3088,2352,3536,3079,3280,2537,2834,2689,3038,2971,3599
180,15.406,880.58942,26510,22562,23274,17735,21050,23272,24608,22294,17490,16486,20832,15985,19009,22091
181,15.41,885.54401,3765,3231,2995,2849,2756,3703,4314,3124,2472,2606,2873,2321,2933,3122
182,15.265,909.54596,7970,10122,9691,9707,11169,10586,11976,9929,8133,10595,7770,11125,9063,10738
183,15.031,928.591,3611,11402,5114,4153,2151,3986,8561,2671,1883,2687,6156,6044,2150,5551
184,18.44,972.73322,3654,3543,2806,6482,3016,4578,4282,3296,2438,3009,2945,5333,2623,2958
185,14.575,1153.71716,1434,2638,1980,3009,2040,2018,2398,2000,1847,1729,2033,2619,1979,2060
186,21.721,1267.20068,2732,6020,4797,4106,3895,3828,5187,3130,3943,3786,3250,4104,3208,5575
187,16.681,1406.13745,2531,7565,4021,9347,4891,4567,7096,3576,3990,5618,3092,5487,4100,4266
188,16.298,1445.01123,4338,4846,5403,6084,5178,5282,4171,5677,5473,6192,5717,5083,4345,6622
189,16.634,1461.12952,18319,30980,23450,32952,28705,22430,32078,23538,23161,27262,20024,25028,24017,24606
190,16.71,1487.1438,9675,13996,14394,14210,12086,15960,12301,10081,10348,11322,15683,13579,13517,17933
191,16.532,1516.12402,141385,153785,150619,156501,160692,150116,153755,177044,135667,152861,158593,118802,153283,169957
192,17.253,1520.15466,45122,64936,48312,59874,48494,52935,53223,55426,28083,36818,78883,51385,69863,57260
193,16.854,1552.16321,7470,8565,11614,10294,14837,8138,6881,10869,7074,10206,11199,9200,9146,7946
194,17.406,1572.18896,70301,73102,94076,73892,88881,81500,105418,95357,85838,79491,45130,73357,89426,73656
195,20.878,1757.54333,6162,6230,5362,2830,1697,4680,3036,6085,4067,2522,2000,3375,1807,1492
